ID,アプリ名,アプリURL,アプリ設定URL,所属スペース,所属スペースURL,アプリグループ,ステータス,レコードの最終更新日,レコード数,フィールド数,1日のAPIリクエスト数,添付ファイルの合計サイズ（byte）,カスタマイズ,アプリ管理者数
154,price_rules_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/154/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=154,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,9,0,0,なし,未取得
155,incentive_rules_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/155/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=155,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,11,0,0,なし,未取得
156,task_templates_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/156/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=156,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,7,0,0,なし,未取得
157,price_rules_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/157/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=157,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,9,0,0,なし,未取得
158,assignments_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/158/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=158,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,8,0,0,なし,未取得
159,shift_slots_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/159/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=159,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,7,0,0,なし,未取得
160,projects_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/160/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=160,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,9,0,0,なし,未取得
161,price_outsource_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/161/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=161,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,9,0,0,なし,未取得
162,price_sales_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/162/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=162,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,9,0,0,なし,未取得
163,roles_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/163/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=163,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,3,0,0,なし,未取得
164,project_types_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/164/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=164,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,3,0,0,なし,未取得
165,workers_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/165/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=165,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,6,0,0,なし,未取得
166,sites_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/166/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=166,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,5,0,0,なし,未取得
167,clients_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/167/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=167,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,6,0,0,なし,未取得
168,actuals_sample_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/168/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=168,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,13,0,0,なし,未取得
