"type_id","name","category_level","parent_major","parent_middle"
"PT020","飲食:新橋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT117","飲食:新橋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT094","飲食:新宿","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT017","飲食:新宿","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT116","飲食:新宿","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT098","飲食:神","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT023","飲食:神","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT120","飲食:神","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT101","飲食:西新","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT018","飲食:西新","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT123","飲食:西新","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT102","飲食:赤","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT021","飲食:赤","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT124","飲食:赤","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT096","飲食:池","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT019","飲食:池","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT118","飲食:池","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT044","飲食:八","minor","J社_加熱式タバコ販促PR施策","飲食店巡回_武蔵野支社"
"PT043","飲食:立","minor","J社_加熱式タバコ販促PR施策","飲食店巡回_武蔵野支社"
"PT090","基礎研修","minor","J社_加熱式タバコ販促PR施策","外販案件"
"PT048","喫煙マナー調査員業務","minor","喫煙調査施策","喫煙マナー調査"
"PT049","喫煙マナー調査事務局員業務","minor","喫煙調査施策","喫煙マナー調査"
"PT126","研修","minor","J社_加熱式タバコ販促PR施策","飲食店開拓_武蔵野支社"
"PT083","佐野プレミアム・アウトレット","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT054","埼玉/東京_事務局","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT055","埼玉/東京エリア","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT089","事務局","minor","J社_加熱式タバコ販促PR施策","外販案件"
"PT031","芝公園(クリスマスマーケット)","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT056","車両ピック","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT027","渋谷喫煙所","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系"
"PT060","渋谷喫煙所","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系1480円"
"PT062","渋谷喫煙所","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系2980円"
"PT064","渋谷喫煙所","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系980円"
"PT088","神戸三田アウトレット","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT032","赤レンガ(ハンバーガーフェス)","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT033","赤レンガ(ふるさとフェア)","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT030","代々木公園(楽天食いしんぼう祭)","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT085","大阪 りんくうアウトレット","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT051","中日本(愛知/岐阜/三重)エリア","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT127","中野駅前人流調査","minor","喫煙調査施策","人流調査"
"PT057","追加事務局","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT058","追加人員手配","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT084","土岐アウトレット","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT073","冬なべ_事前準備","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT074","冬なべ_本番日1日目","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT075","冬なべ_本番日2日目A","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT076","冬なべ_本番日2日目B","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT029","東京競馬場","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT086","東京競馬場_スタッフ","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT087","東京競馬場_ディレクター","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT052","南関東(神奈川/千葉)エリア","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT053","南関東/中日本_事務局","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT125","八王子/立川","minor","J社_加熱式タバコ販促PR施策","飲食店開拓_武蔵野支社"
"PT091","本研修","minor","J社_加熱式タバコ販促PR施策","外販案件"
"PT035","幕張メッセ(サタニックカーニバル)","minor","J社_加熱式タバコ販促PR施策","大型フェス系"
"PT034","幕張メッセ(ツタロックフェス)","minor","J社_加熱式タバコ販促PR施策","大型フェス系"
"PT036","幕張メッセ(尽未来祭)","minor","J社_加熱式タバコ販促PR施策","大型フェス系"
"PT045","履行確認A調査員業務","minor","喫煙調査施策","履行確認"
"PT046","履行確認B調査員業務","minor","喫煙調査施策","履行確認"
"PT047","履行確認事務局員業務","minor","喫煙調査施策","履行確認"

