,,,誰から,何を,どこで,どのように,,,,,,,,,,,,,,,,,,,,,,,,
drv26032,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食渋,2026/1/1,2026/12/31,渋谷駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26033,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食新宿,2026/1/1,2026/12/31,新宿駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26034,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食西新,2026/1/1,2026/12/31,西新宿駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26035,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食池,2026/1/1,2026/12/31,池袋駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26036,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食新橋,2026/1/1,2026/12/31,新橋駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26037,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食赤,2026/1/1,2026/12/31,赤坂駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26038,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食上,2026/1/1,2026/12/31,上野駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26039,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食神,2026/1/1,2026/12/31,神田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26040,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食蒲,2026/1/1,2026/12/31,蒲田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26041,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食秋,2026/1/1,2026/12/31,秋葉原駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26042,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回980円,飲食五,2026/1/1,2026/12/31,五反田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26043,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,パーキング/喫煙所系2980円,渋谷喫煙所,2026/1/1,2026/12/31,,,12:00,20:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26044,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,パーキング/喫煙所系1480円,渋谷喫煙所,2026/1/1,2026/12/31,,,12:00,20:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26045,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,パーキング/喫煙所系980円,渋谷喫煙所,2026/1/1,2026/12/31,,,12:00,20:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26046,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,パーキング/喫煙所系2980円,パラカ新橋,2026/2/2,,東京都港区新橋3-17-3,10:30,11:00,19:00,20:00,8.5,,,,,,上記【U13】と同じ,,,,,,,,,,
drv26047,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,パーキング/喫煙所系1480円,パラカ新橋,2026/2/2,,東京都港区新橋3-17-3,10:30,11:00,19:00,20:00,8.5,,,,,,上記【U13】と同じ,,,,,,,,,,
drv26048,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,パーキング/喫煙所系980円,パラカ新橋,2026/2/2,,東京都港区新橋3-17-3,10:30,11:00,19:00,20:00,8.5,,,,,,上記【U13】と同じ,,,,,,,,,,
drv26049,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,外販案件,事務局,2026/1/1,2026/12/31,,,,,,,,,"¥250,000",-,-,月額固定報酬制,,,,,,,,,,
drv26050,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,外販案件,基礎研修,2026/1/1,2026/12/31,,,,,,4,,,-,"¥10,000",-,外販案件に初めて入る方は必ず基礎研修を受講する必要有,,,,,,,,,,
drv26051,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,外販案件,本研修,2026/1/1,2026/12/31,,,,,,6,,,-,"¥15,000",-,外販案件に初めて入る方は必ず本研修を受講する必要有,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26052,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,冬なべ_事前準備,2026/1/23,2026/1/23,,12:55,13:00,16:00,16:05,4,,,,"¥15,000",,,,,,,,,,,,
drv26053,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,冬なべ_本番日1日目,2026/1/24,2026/1/24,,9:00,10:00,19:00,19:45,10.5,,,,"¥31,500",,,,,,,,,,,,
drv26054,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,冬なべ_本番日2日目A,2026/1/25,2026/1/25,,9:15,10:00,19:00,19:45,10.5,,,,"¥31,000",,,,,,,,,,,,
drv26055,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,冬なべ_本番日2日目B,2026/1/25,2026/1/25,,9:15,10:00,18:00,18:45,9.5,,,,"¥28,000",,,,,,,,,,,,
drv26056,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,BLF2026_事前準備,2026/2/6,2026/2/6,ポートメッセなごや 第一展示館,,9:00,18:00,,9,https://blarefest.com/,,,"¥21,000",-,BLARE FEST. 2026,,,,,,,,,,
drv26057,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,BLF2026_本番1日目,2026/2/7,2026/2/7,ポートメッセなごや 第一展示館,,8:00,21:30,,13.5,https://blarefest.com/,,,"¥38,000",-,BLARE FEST. 2026,,,,,,,,,,
drv26058,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,BLF2026_本番2日目,2026/2/8,2026/2/8,ポートメッセなごや 第一展示館,,8:00,22:30,,14.5,https://blarefest.com/,,,"¥38,500",-,BLARE FEST. 2026,,,,,,,,,,
drv26059,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,BLF2026_片付/発送,2026/2/9,2026/2/9,ポートメッセなごや 第一展示館,,,,,1,https://blarefest.com/,,,"¥10,000",-,BLARE FEST. 2026,,,,,,,,,,
drv26060,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,あみプレミアム・アウトレット,2026/2/10,2026/2/11,茨城県稲敷郡阿見町よしわら4-1-1,,,,,,,,,,-,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26061,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,土岐アウトレット,2026/2/13,2026/2/14,岐阜県土岐市土岐ヶ丘１丁目２,,,,,,,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26062,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,佐野プレミアム・アウトレット,2026/2/20,2026/2/21,栃木県佐野市越名町2058,,,,,,,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26063,drv社,井上,金子,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,東京競馬場_ディレクター,2026/2/22,2026/2/22,東京都府中市日吉町１－１ 各喫煙所,8:00,8:30,16:30,17:30,,,,-,"¥27,000",-,東京競馬場フェブラリーステーク,,,,,,,,,,
drv26064,drv社,井上,金子,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,東京競馬場_スタッフ,2026/2/22,2026/2/22,東京都府中市日吉町１－１ 各喫煙所,8:00,8:30,16:30,17:30,,,,-,"¥25,000",-,東京競馬場フェブラリーステーク,,,,,,,,,,
drv26065,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,神戸三田アウトレット,2026/2/27,2026/2/28,,,,,,,,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26066,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,大阪 りんくうアウトレット,2026/2/27,2026/2/28,,,,,,,,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26067,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,RUMBLE&JAG,2026/3/14,2026/3/15,愛知県,,,,,,https://rumble-jag.jp/about.htmll,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26068,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,ツタロック,2026/3/20,2026/3/21,幕張,,,,,,https://cemusiccreative.com/tsutarock2026#tabday3,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26069,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,SAKURA STREET,2026/3/27,2026/4/5,浅草,,,,,,,,,,,"イベント
└￥ 25,000～(交通費込)+インセンティブ(要相談)
※1時間あたりの延長費は￥3,000ベース
(前日対応)
└￥ 15,000～20,000(交通費込)
※イベント規模により変動",,,,,,,,,,
drv26070,drv社,中垣,鈴木,J社_加熱式タバコ販促PR施策,中小型フェス系,CSW六本木26,,,六本木,,,,,,,,,,,CRAFT SAKE WEEK at ROPPONGI HILLS 2026,,,,,,,,,,
drv26071,drv社,中垣,鮎川,喫煙調査施策,人流調査,中野駅前人流調査,2026/1/24,2026/1/30,中野駅,10:45,11:00,19:00,19:15,8,,,-,,-,単価20000~23000??,,,,,,,,,,
drv26072,drv社,井上,金子,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,ドンキ梅島,2026/1/9,2026/12/31,東京都足立区中央本町5-5-14,10:45,11:00,19:00,19:15,8,,,-,"¥27,000",-,インセンティブ無し ※5月以降場所が最大28箇所になる可能性有,,,,,,,,,,
drv26073,drv社,井上,金子,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,アキラ,2026/1/9,2026/12/31,東京都港区六本木6-1-5,13:50,14:00,22:00,22:10,8,,,-,"¥27,000",-,インセンティブ無し ※5月以降場所が最大28箇所になる可能性有,,,,,,,,,,
drv26074,drv社,井上,金子,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,にん仙,2026/1/9,2026/12/31,東京都港区新橋2-15-13,14:50,15:00,20:30,20:40,5.5,,,-,"¥25,000",-,インセンティブ無し ※5月以降場所が最大28箇所になる可能性有,,,,,,,,,,
drv26075,drv社,井上,金子,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,一古,2026/1/9,2026/12/31,東京都渋谷区恵比寿南1-2-8,10:50,11:00,18:00,18:10,7,,,-,"¥27,000",-,インセンティブ無し ※5月以降場所が最大28箇所になる可能性有,,,,,,,,,,
drv26076,drv社,井上,金子,J社_加熱式タバコ販促PR施策,商業施設/たばこ屋系,ビック立川,2026/1/9,2026/12/31,東京都立川市曙町2-12-2,11:30,12:00,20:00,20:15,8,,,-,"¥27,000",-,インセンティブ無し ※5月以降場所が最大28箇所になる可能性有,,,,,,,,,,
drv26077,drv社,井上,金子,J社_加熱式タバコ販促PR施策,飲食店巡回_武蔵野支社,飲食吉,2026/1/9,2026/12/31,吉祥寺駅,14:20,14:30,22:30,22:40,8,,,-,"¥26,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26078,drv社,井上,金子,J社_加熱式タバコ販促PR施策,飲食店巡回_武蔵野支社,飲食立,2026/1/9,2026/12/31,立川駅,14:20,14:30,22:30,22:40,8,,,-,"¥26,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26079,drv社,井上,金子,J社_加熱式タバコ販促PR施策,飲食店巡回_武蔵野支社,飲食八,2026/1/9,2026/12/31,八王子駅,14:20,14:30,22:30,22:40,8,,,-,"¥26,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26080,drv社,井上,金子,J社_加熱式タバコ販促PR施策,飲食店開拓_武蔵野支社,研修,2026/1/6,2026/1/6,,,18:00,20:00,,2,,,-,"¥6,000",-,,,,,,,,,,,
drv26081,drv社,井上,金子,J社_加熱式タバコ販促PR施策,飲食店開拓_武蔵野支社,八王子/立川,2026/1/7,2026/1/22,,13:50,14:00,20:00,20:10,6,,,-,"¥26,000","1件毎/+¥1,000",,,,,,,,,,,
drv26082,drv社,井上,金子,J社_加熱式タバコ販促PR施策,飲食店巡回_武蔵野支社,飲食立,2026/1/17,2026/1/24,立川駅,14:20,14:30,22:30,22:40,8,,,,"¥26,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drv26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
